title,author,viaf_url,country,date_banned,source,note
All Quiet on the Western Front,"Remarque, Erich Maria",http://viaf.org/viaf/61551298,USA,1929,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=129,
The Grapes of Wrath,"Steinbeck, John",http://viaf.org/viaf/96992551,USA,1939,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=131,Burned in St.Louis
God's Little Acre,"Caldwell, Erskine Preston",http://viaf.org/viaf/46758305,USA,1933,https://archive.org/details/literaturesuppre00sova_0/page/64/mode/2up,Prosecuted
Tobacco Road,"Caldwell, Erskine Preston",http://viaf.org/viaf/46758305,USA,1935,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=132,Banned in many cities
God's Little Acre,"Caldwell, Erskine Preston",http://viaf.org/viaf/46758305,Ireland,1953,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=133,
Tobacco Road,"Caldwell, Erskine Preston",http://viaf.org/viaf/46758305,Ireland,1953,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=133,
A World I Never Made,"Farrell, James T.",http://viaf.org/viaf/46775204,USA,1949,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Prosecuted
Studs Lonigan,"Farrell, James T.",http://viaf.org/viaf/46775204,USA,1948,https://archive.org/details/literaturesuppre00sova_0/page/178/mode/2up,Prosecuted
The Young Manhood of Studs Lonigan,"Farrell, James T.",http://viaf.org/viaf/46775204,USA,1949,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Prosecuted
Bad Girl,"Delmar, Viña",http://viaf.org/viaf/64212771,USA,1933,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=137,Description of abortion
Esquire,"Gingrich, Arnold W.",http://viaf.org/viaf/22498111,USA,1943,https://www.archives.gov/publications/prologue/1990/spring/esquire-v-walker-1.html,Post Office barred the magazine
Orlando: A Biography,"Woolf, Virginia",http://viaf.org/viaf/39385478,England,1928,https://blog.library.villanova.edu/2019/09/25/celebrate-a-banned-book-see-orlando/,Prosecuted
The Works of Voltaire,Voltaire,http://viaf.org/viaf/36925746,USA,1901,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Prosecuted
Family Limitation,"Sanger, Margaret",http://viaf.org/viaf/64013684,USA,1915,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Prosecuted
Reigen,"Schnitzler, Arthur",http://viaf.org/viaf/82526567,USA,1930,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Prosecuted
The Sex Side of Life,"Dennett, Mary Ware",http://viaf.org/viaf/31559886,USA,1930,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Prosecuted
November,"Flaubert, Gustave",http://viaf.org/viaf/9846192,USA,1935,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Prosecuted
If It Die,"Gide, André",http://viaf.org/viaf/96973963,USA,1936,https://archive.org/details/literaturesuppre00sova_0/page/80/mode/2up,Prosecuted
Serenade,"Cain, James M.",http://viaf.org/viaf/46758295,USA,1950,https://archive.org/details/literaturesuppre00sova_0/page/168/mode/2up,Prosecuted
