title,author,country,date_banned,source,note
Strange Interlude,"O'Neill, Eugene",USA,1928,https://en.wikipedia.org/wiki/Strange_Interlude,Banned in certain cities
Tropic of Cancer,"Miller, Henry",USA,1934,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=123,
Antic Hay,"Huxley, Aldous",USA,1930,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=124,
Point Counter Point,"Huxley, Aldous",Ireland,1930,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=124,
Brave New World,"Huxley, Aldous",Ireland,1932,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=124,
Eyeless in Gaza,"Huxley, Aldous",Ireland,1936,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=124,
Memoirs of Hecate County,"Wilson, Edmund",USA,1946,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,
Sanctuary,"Faulkner, William",USA,1949,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Prosecuted
The Wild Palms,"Faulkner, William",USA,1949,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Prosecuted
Pylon,"Faulkner, William",USA,1954,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=126,
A Farewell to Arms,"Hemingway, Ernest",USA,1929,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=128,
The Sun Also Rises,"Hemingway, Ernest",USA,1930,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=128,
To Have and Have Not,"Hemingway, Ernest",USA,1938,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=129,Removed from public sale
A Farewell to Arms,"Hemingway, Ernest",Ireland,1939,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=129,
The Sun Also Rises,"Hemingway, Ernest",Ireland,1953,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=129,
All Quiet on the Western Front,"Remarque, Erich Maria",USA,1929,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=129,
The Grapes of Wrath,"Steinbeck, John",USA,1939,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=131,Burned in St.Louis
God's Little Acre,"Caldwell, Erskine Preston",USA,1933,https://academic.oup.com/book/1439,Prosecuted
Tobacco Road,"Caldwell, Erskine Preston",USA,1935,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=132,Banned in many cities
God's Little Acre,"Caldwell, Erskine Preston",Ireland,1953,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=133,
Tobacco Road,"Caldwell, Erskine Preston",Ireland,1953,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=133,
A World I Never Made,"Farrell, James T.",USA,1949,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Prosecuted
Studs Lonigan,"Farrell, James T.",USA,1949,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Prosecuted
The Young Manhood of Studs Lonigan,"Farrell, James T.",USA,1949,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Prosecuted
Bad Girl,"Delmar, Viña",USA,1928,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=136,
Bad Girl,"Delmar, Viña",USA,1933,https://babel.hathitrust.org/cgi/pt?id=mdp.39015034575343&seq=137,Description of abortion
Esquire,"Gingrich, Arnold W.",USA,1943,https://www.archives.gov/publications/prologue/1990/spring/esquire-v-walker-1.html,Post Office barred the magazine
Orlando: A Biography,"Woolf, Virginia",England,1928,https://blog.library.villanova.edu/2019/09/25/celebrate-a-banned-book-see-orlando/,Prosecuted
The Works of Voltaire,Voltaire,USA,1901,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Prosecuted
Hagar Revelly,"Goodman, Daniel Carson",USA,1913,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Prosecuted
Family Limitation,"Sanger, Margaret",USA,1915,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Prosecuted
Reigen,"Schnitzler, Arthur",USA,1930,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Prosecuted
The Sex Side of Life,"Dennett, Mary Ware",USA,1930,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Prosecuted
Female,"Clarke, Donald Henderson",USA,1934,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Prosecuted
November,"Flaubert, Gustave",USA,1935,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Prosecuted
If It Die,"Gide, André",USA,1936,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Prosecuted
Serenade,"Cain, James M.",USA,1950,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Prosecuted
Confessions,"Rousseau, Jean-Jacques",USA,1984,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Comstock opposed sale
"The History of Tom Jones, a Foundling","Fielding, Henry",USA,1984,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,Comstock opposed sale
Manhattan Transfer,"Dos Passos, John",USA,1934,https://sites.nd.edu/rbsc/banned-books-week-miscellany/,
1919,"Dos Passos, John",USA,1938,https://doi.org/10.25364/27.2:2022.2.6,
Dubliners,"Joyce, James",England,1906,https://doi.org/10.4000/lisa.5466,Delayed publication due to 'indecent' language
Never Love a Stranger,"Robbins, Harold",USA,1948,https://timesmachine.nytimes.com/timesmachine/1948/05/25/85257601.html?pageNumber=25,Philadelphia Book Raids
House of Gold,"O'Flaherty, Liam",Ireland,1929,https://www.irishtimes.com/news/state-s-first-banned-book-to-be-published-for-first-time-in-80-years-1.1425131,Suppressed by the Irish Censorship of Publications Board
The Bulpington of Blup,"Wells, H. G.",Ireland,1937,https://trove.nla.gov.au/newspaper/article/231085536?searchTerm=%22h.%20g.%20wells%22%20banned%20%20%20%20%20%20%20%20%20%20%20%20&searchLimits=,
Brave New World,"Huxley, Aldous",Ireland,1932,https://archive.org/details/literaturesuppre0000sova_k0j9/page/66/mode/2up?q=huxley,
"The Work, Wealth and Happiness of Mankind","Wells, H. G.",Ireland,1937,https://trove.nla.gov.au/newspaper/article/231085536?searchTerm=%22h.%20g.%20wells%22%20banned%20%20%20%20%20%20%20%20%20%20%20%20&searchLimits=,
The Martyr,"O'Flaherty, Liam",Ireland,1937,https://trove.nla.gov.au/newspaper/article/231085536?searchTerm=%22h.%20g.%20wells%22%20banned%20%20%20%20%20%20%20%20%20%20%20%20&searchLimits=,
Boy,"Hanley, James",,,,
The Complete Works of Geoffrey Chaucer,"Chaucer, Geoffrey",USA,1873,https://onlinebooks.library.upenn.edu/banned-books.html,Comstock Act
Can Such Things Be?,"Bierce, Ambrose Gwinnett",USA,1918,https://onlinebooks.library.upenn.edu/banned-books.html,US War Department told the American Library Association to remove
Appointment in Samarra,"O'Hara, John",USA,1941,https://archive.org/details/literaturesuppre0000sova_k0j9/page/32/mode/2up,Declared as 'not mailable'
The Autobiography of Benjamin Franklin,"Franklin, Benjamin",USA,1957,"https://archive.org/details/literaturesuppre0000sova_k0j9/page/34/mode/2up,https://archive.org/details/literaturesuppre0000sova_k0j9/page/36/mode/2up",Roth v United States
Dracula,"Stoker, Bram",England,1897,https://archive.org/details/literaturesuppre0000sova_k0j9/page/118/mode/2up,Not banned but deemed as offensive
Gargantua,"Rabelais, François",USA,1927,https://archive.org/details/literaturesuppre0000sova_k0j9/page/152/mode/2up,Import banned until 1930
Gone with the Wind,"Mitchell, Margaret",USA,1936,https://archive.org/details/literaturesuppre0000sova_k0j9/page/166/mode/2up,John Summer and the New York Society for the Suppression of Vice objected its publication
Of Mice and Men,"Steinbeck, John",Ireland,1953,https://archive.org/details/literaturesuppre0000sova_k0j9/page/238/mode/2up,
Of Time and the River: A Legend of Man's Hunger in His Youth,"Wolfe, Thomas",USA,1935,https://archive.org/details/literaturesuppre0000sova_k0j9/page/242/mode/2up,Not banned but suppressed
Marriage and Morals,"Russell, Bertrand",USA,1940,https://en.wikipedia.org/wiki/The_Bertrand_Russell_Case,Kay v. Board of Higher Ed. of City of New York
On Education,"Russell, Bertrand",USA,1940,https://en.wikipedia.org/wiki/The_Bertrand_Russell_Case,Kay v. Board of Higher Ed. of City of New York
What I Believe,"Russell, Bertrand",USA,1940,https://en.wikipedia.org/wiki/The_Bertrand_Russell_Case,Kay v. Board of Higher Ed. of City of New York
Education and the Modern World,"Russell, Bertrand",USA,1940,https://en.wikipedia.org/wiki/The_Bertrand_Russell_Case,Kay v. Board of Higher Ed. of City of New York
Anthony Adverse,"Allen, Hervey",Ireland,1933,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
And Quiet Flows the Don,"Sholokhov, Mikhail",Ireland,1939,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Amok: A Story,"Zweig, Stefan",Ireland,1931,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
American Earth,"Caldwell, Erskine Preston",Ireland,1931,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
"Cakes and Ale, or, the Skeleton in the Cupboard","Maugham, W. Somerset",Ireland,1930,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Chéri,"Colette, Sidonie-Gabrielle",Ireland,1920,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Common Sense and the Child,"Mannin, Ethel",Ireland,1931,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Eve's Doctor,"Toksvig, Signe",Ireland,1937,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Green Lion,"Hackett, Francis",Ireland,1936,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Honourable Estate: A Novel of Transition,"Brittain, Vera",Ireland,1936,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Little Essays of Love or Virtue,"Ellis, Havelock",Ireland,1922,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Men of Good Will,"Romains, Jules",Ireland,1932,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Impregnable Women,"Linklater, Eric",Ireland,1934,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Imperial City,"Rice, Elmer",Ireland,1937,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Back Street,"Hurst, Fannie",Ireland,1931,https://archive.org/details/sim_saturday-review_1939-03-18_19_21_0/page/n13/mode/2up,
Berlin Alexanderplatz,"Döblin, Alfred",USA,1929,https://medium.com/@sonderlingpress/have-you-read-any-of-these-banned-books-from-the-1920s-8fdc859c987b,
The Waste Land,"Eliot, T. S.",USA,1922,https://medium.com/@sonderlingpress/have-you-read-any-of-these-banned-books-from-the-1920s-8fdc859c987b,Not banned but suppressed
A Passage to India,"Forster, E. M.",USA,1924,https://medium.com/@sonderlingpress/have-you-read-any-of-these-banned-books-from-the-1920s-8fdc859c987b,Not banned but suppressed
Jude the Obscure,"Hardy, Thomas",England,1895,https://www.lapl.org/collections-resources/blogs/lapl/banned-books,Removed from circulating libraries
Maggie: A Girl of the Streets,"Crane, Stephen",USA,1893,https://books.google.at/books?id=gDqsCQAAQBAJ&pg=PA2510&lpg=PA2510&dq=stephen+crane+banned+censor+comstock&source=bl&ots=_8B_0sHm3O&sig=ACfU3U22yaVrE9ZiK7bWZfajbc3q7iMPgw&hl=de&sa=X&ved=2ahUKEwjKp7Gm49qEAxVv8QIHHXpGAPs4ChDoAXoECAgQAw#v=onepage&q=stephen%20crane%20banned%20censor%20comstock&f=false,
More Pricks Than Kicks,"Beckett, Samuel",Ireland,1934,https://sites.nd.edu/irish-hesburgh/censorship/,
The Bright Temptation,"Clarke, Austin",Ireland,1932,https://sites.nd.edu/irish-hesburgh/censorship/,
My life and loves,"Harris, Frank",Ireland,1950,https://sites.nd.edu/irish-hesburgh/censorship/,
Coming from the Fair,"Hoult, Norah",Ireland,1937,https://sites.nd.edu/irish-hesburgh/censorship/,
Ragged Banners,"Mannin, Ethel",Ireland,1931,https://sites.nd.edu/irish-hesburgh/censorship/,
Mary Lavelle,"O'Brien, Kate",Ireland,1936,https://sites.nd.edu/irish-hesburgh/censorship/,
Windfalls,"O'Casey, Sean",Ireland,1934,https://sites.nd.edu/irish-hesburgh/censorship/,
Dutch Interior,"O'Connor, Frank",Ireland,1940,https://sites.nd.edu/irish-hesburgh/censorship/,
Bird Alone,"Ó Faoláin, Seán",Ireland,1936,https://sites.nd.edu/irish-hesburgh/censorship/,
The House of Gold,"O'Flaherty",Ireland,1930,https://sites.nd.edu/irish-hesburgh/censorship/,
Going Native,"Gogarty, Oliver St. John",Ireland,1942,https://sites.nd.edu/irish-hesburgh/censorship/,
Julie,"Stuart, Francis",Ireland,1939,https://sites.nd.edu/irish-hesburgh/censorship/,
Dragon Seed,"Buck, Pearl S.",Ireland,1942,https://sites.nd.edu/irish-hesburgh/censorship/,
The Stars Look Down,"Cronin, A. J.",Ireland,1935,https://sites.nd.edu/irish-hesburgh/censorship/,
I'll Never Be Young Again,"Du Maurier, Daphne",Ireland,1942,https://sites.nd.edu/irish-hesburgh/censorship/,
"I, Claudius","Graves, Robert",Ireland,1936,https://sites.nd.edu/irish-hesburgh/censorship/,
Goodbye to Berlin,"Isherwood, Christopher",Ireland,1939,https://sites.nd.edu/irish-hesburgh/censorship/,
How Green Was My Valley,"Llewellyn, Richard",Ireland,1940,https://sites.nd.edu/irish-hesburgh/censorship/,
Swann's Way (À la recherche du temps perdu 1),"Proust, Marcel",Ireland,1943,https://sites.nd.edu/irish-hesburgh/censorship/,
The Burning Cactus,"Spender, Stephen",Ireland,1936,https://sites.nd.edu/irish-hesburgh/censorship/,
The Blind Man's House,"Walpole, Hugh",Ireland,1942,https://sites.nd.edu/irish-hesburgh/censorship/,
Uncle Tom's Children,"Wright, Richard",Ireland,1958,https://sites.nd.edu/irish-hesburgh/censorship/,
Prostitution in Europe,"Flexner, Abraham",,,,
Maggie: A Girl of the Streets,"Crane, Stephen",,,,
Vandover and the Brute,"Norris, Frank",,,,
The Apes of God,"Lewis, Wyndham",,,,
"The Complete Works of Ralph Waldo Emerson: Comprising his Essays, Lectures, Poems, and Orations","Emerson, Ralph Waldo",,,,Banned from Harvard
,Jack London,,,,
The Companionate Marriage,"Lindsey, Ben B.;Evans, Wainwright",,,,
Bottom Dogs,"Dahlberg, Edward",,,,
Proletarian Literature in the United States: An Anthology,"Calmer, Alan;Gold, Michael;Hicks, Granville;North, Joseph;Peters, Paul;Schneider, Isidor",,,,
A Poet's Life,"Monroe, Harriet",,,,
Cantleman’s Spring-Mate,,,,,
The Art of Being Ruled,"Lewis, Wyndham",,,https://doi.org/10.1093/acprof:oso/9780199680986.001.0001,images of autopsied bodies
Men without Art,"Lewis, Wyndham",,,,
Tarr,"Lewis, Wyndham",,,,
The Trumpet-Major,"Hardy, Thomas",,,,
The Childermass,"Lewis, Wyndham",,,,
Time and Western Man,"Lewis, Wyndham",,,,
The Bastard,"Caldwell, Erskine Preston",,,,
Journeyman,"Caldwell, Erskine Preston",,,,
Beyond the Pleasure Principle,"Freud, Sigmund",,,,
The Pleasures of Ignorance,"Lynd, Robert Wilson",,,,
The Right Place: A Book of Pleasures,"Montague, C. E.",,,,
The Pleasure Lover,"Meyerstein, Edward Harry William",,,,
After Such Pleasures,"Parker, Dorothy",,,,
End as a Man,"Calder Willingham",,,,
Trouble in July,"Caldwell, Erskine Preston",,,,
The Negro in Our History,"Woodson, Carter Godwin",,,,
"Negro Americans, What Now?","Johnson, James Weldon",,,,
Negro: An Anthology,"Cunard, Nancy",,,,
Arabian Nights,"Stevenson, Robert Louis",,,,
"The Story of Lewis Carroll, Told for Young People by the Real Alice in Wonderland","Bowman, Isa",,,,
Diary of a Soviet Marriage,"Romanov, Panteleimon",,,,
The Story of Doctor Dolittle,"Lofting, Hugh",,,https://archive.org/details/literaturesuppre0000sova_k0j9/page/110/mode/2up,
As I Lay Dying,"Faulkner, William",USA,,https://archive.org/details/literaturesuppre0000sova_k0j9/page/34/mode/2up,
The 42nd Parallel,"Dos Passos, John",USA,1938,https://doi.org/10.25364/27.2:2022.2.6,
